variant,when,rules,v_limit,n_train,n_test,lgb_mae,lgb_r2,lgb_tail_mae,tail_n,naive_mae,persist_mae,vtest_std,n_regions,regions_excluded_far,notes,coverage_core,core_mae,tail_frozen_n_kept,tail_frozen_mae,pos_err_med,pos_err_p90
v0-baseline,2026-08-21T19:50:04,"[[""structure_mask"", {}], [""min_samples_survey"", {""min_n"": 12}]]",50.0,4695,1174,3.9879,0.3349,8.2979,245,4.6747,8.399,9.2155,10437,579.0,parity with 20260820-hybrid-masked,,,,,,
v0-baseline,2026-08-21T19:51:04,"[[""structure_mask"", {}], [""min_samples_survey"", {""min_n"": 12}]]",50.0,4695,1174,3.9879,0.3349,8.2979,245,4.6747,8.399,9.2155,10437,579.0,parity with 20260820-hybrid-masked,1.0,3.9879,245.0,8.2979,,
v1-maze-survey,2026-08-21T19:51:43,"[[""structure_mask"", {}], [""min_samples_survey"", {""min_n"": 12}], [""maze_survey"", {""max_ratio"": 1.8}]]",50.0,4426,1082,3.2894,0.3601,7.0621,199,3.9603,7.4485,7.8552,10193,375.0,drop surveys with line length > 1.8x region,0.9216,3.2894,208.0,6.7141,,
v2-tortuosity,2026-08-21T19:52:23,"[[""structure_mask"", {}], [""min_samples_survey"", {""min_n"": 12}], [""max_tortuosity_line"", {""max_tort"": 3.0}]]",50.0,4645,1148,3.673,0.318,7.6708,231,4.2732,7.7911,8.5923,10429,494.0,drop wandering lines (tort > 3),0.9779,3.673,232.0,7.7288,,
v3-multiline,2026-08-21T19:53:05,"[[""structure_mask"", {}], [""min_samples_survey"", {""min_n"": 12}], [""multiline_far_line"", {""gap"": 25.0, ""ratio"": 1.5}]]",50.0,4713,1174,3.8652,0.3147,8.3634,244,4.5653,8.1719,8.9604,10463,553.0,two-banks surveys: keep history-consistent group,1.0,3.8652,245.0,8.2812,,
v4-temporal,2026-08-21T19:53:45,"[[""structure_mask"", {}], [""min_samples_survey"", {""min_n"": 12}], [""temporal_outlier_survey"", {""max_dev"": 30.0, ""min_surveys"": 4}]]",50.0,4836,1166,3.1561,0.2614,6.8572,228,3.622,6.6262,7.1515,10815,176.0,drop surveys deviating > 30 m from region history,0.9932,3.1561,239.0,6.4851,,
v5-fragment,2026-08-21T19:54:24,"[[""structure_mask"", {}], [""min_samples_survey"", {""min_n"": 12}], [""fragment_survey"", {""min_cov"": 0.3}]]",50.0,4561,1131,3.4852,0.3934,7.7349,229,4.2635,7.9007,8.5613,10446,454.0,drop surveys covering < 30% of stations,0.9634,3.4852,231.0,7.5098,,
v6-nearbank,2026-08-21T19:55:04,"[[""structure_mask"", {}], [""min_samples_survey"", {""min_n"": 12}], [""near_bank_line"", {""frac"": 0.25, ""min_ref"": 30.0}]]",50.0,4701,1173,3.8172,0.3502,8.0418,244,4.5203,8.2127,8.954,10457,559.0,drop mid-channel lines,0.9991,3.8172,245.0,8.0129,,
c1-temporal-maze,2026-08-21T19:56:50,"[[""structure_mask"", {}], [""maze_survey"", {""max_ratio"": 1.8}], [""min_samples_survey"", {""min_n"": 12}], [""temporal_outlier_survey"", {""max_dev"": 30.0, ""min_surveys"": 4}]]",50.0,4502,1079,2.5484,0.3027,5.5619,189,2.9756,5.7825,6.0137,10422,119.0,temporal repair + maze,0.9191,2.5484,206.0,5.0755,,
c2-plus-fragment,2026-08-21T19:57:24,"[[""structure_mask"", {}], [""maze_survey"", {""max_ratio"": 1.8}], [""fragment_survey"", {""min_cov"": 0.3}], [""min_samples_survey"", {""min_n"": 12}], [""temporal_outlier_survey"", {""max_dev"": 30.0, ""min_surveys"": 4}]]",50.0,4325,1037,2.3725,0.3419,5.1954,178,2.8232,5.4461,5.6523,10275,64.0,c1 + fragment,0.8833,2.3725,193.0,4.8299,,
